id,post_id,open_date,street,address,place_type,shop_centre,dns,lat,lon,response,district,post2,is_center,price,parking_count,parking_min_distance,finance_count,shop_count,distance_100,distance_500,cafe_count,culture_count,job_gov_count,metro_count,metro_min_distance,transport_count,transport_min_distance,working_days,work_hours,weekday_availability,office_hours,is_moscow
14977,142050,,ул. Кирова,"ул. Кирова, дом 3 А",ОПС Б1,FALSE,FALSE,55.3313876,37.8561246,"Белые Столбы, Домодедово, городской округ Домодедово, Московская область, ЦФО, 142050, РФ",городской округ Домодедово,142050,FALSE,,0,,0,0,0.058,0.1167142857,0,0,0,0,,6,153.2887412,6,11,1,,FALSE
12247,141342,2017,ул. Московская,"ул. Московская, дом 21",ОПС Б1,FALSE,FALSE,55.5304436,39.0900466,"Богородское, городской округ Ликино-Дулёво, Московская область, ЦФО, РФ",Московская область,ЦФО,FALSE,,19,56.29260348,0,7,0.1131428571,9.553857143,1,2,2,0,,4,114.1620317,6,11,1,,FALSE
26910,,2019,ул. Ленина,"ул. Ленина, дом 110",other,FALSE,FALSE,54.9024172,37.3603624,"улица Ленина, Серпухов, городской округ Серпухов, Московская область, ЦФО, 142253, РФ",городской округ Серпухов,142253,FALSE,,5,459.2293806,0,6,0.6504285714,21.313,0,3,1,0,,5,198.441522,6,11,1,,FALSE
11405,140171,2017,ул. Марьинский,"ул. Марьинский, дом 3",ОПС Б1,FALSE,FALSE,55.4181004,38.2760535,"Марьинский переулок, Бронницы, городской округ Бронницы, Московская область, ЦФО, 140170, РФ",городской округ Бронницы,140170,FALSE,,11,44.05514073,0,3,0.3674285714,12.36742857,1,0,0,0,,3,70.18497027,6,11,1,,FALSE
13261,140150,2017,ул. Параллельная,"ул. Параллельная, дом 12",ОПС Б1,FALSE,FALSE,55.6254513,38.0659464,"Отделение связи №140150, 12, Параллельная улица, городское поселение Быково, Раменский район, Московская область, ЦФО, 140150, РФ",Параллельная улица,140150,FALSE,,3,248.3774479,0,11,0.1482857143,18.63,8,1,4,0,,9,241.9994035,5,9,0,['пн.—пт.: 10:00—19:00'],FALSE
10622,108818,2017,дер. Ватутинки,"дер. Ватутинки, дом 34 А",ОПС Б1,FALSE,FALSE,55.5030398,37.3313045,"Ватутинки, Новомосковский административный округ, Москва, ЦФО, 142793, РФ",Москва,142793,FALSE,,3,482.2564519,1,2,0.1422857143,40.84485714,1,0,1,0,,7,88.21451103,6,11,1,,FALSE
15105,141930,2017,ул. Победы,"ул. Победы, дом 1",ОПС Б1,FALSE,FALSE,56.5296052,37.5860933,"улица Победы, Вербилки, Талдомский городской округ, Московская область, ЦФО, 141930, РФ",Талдомский городской округ,141930,FALSE,,18,46.70592605,1,14,2.126714286,9.362,1,3,4,0,,6,26.2894253,5,9,0,['пн.—пт.: 09:00—18:00 перерыв: 13:00—14:00'],FALSE
15754,143330,2017,пл. Советская,"пл. Советская, дом 13/1",ОПС Б1,FALSE,FALSE,55.3437869,36.1850954,"Советская площадь, Верея, Наро-Фоминский городской округ, Московская область, ЦФО, 143330, РФ",Наро-Фоминский городской округ,143330,FALSE,,5,196.2402794,2,10,0.3148571429,11.86014286,3,6,4,0,,5,286.463173,5,9,0,['пн.—пт.: 09:00—18:00 перерыв: 13:00—14:00'],FALSE
11410,142701,2017,прт Ленинского Комсомола,"прт Ленинского Комсомола, дом 3",ОПС Б1,FALSE,FALSE,55.5494227,37.7165758,"проспект Ленинского Комсомола, 6-й микрорайон, городское поселение Видное, Ленинский район, Московская область, ЦФО, 142701, РФ",городское поселение Видное,142701,FALSE,94885,69,30.03673403,5,39,5.101714286,70.91628571,4,1,21,0,,10,37.17886181,5,9,0,['пн.—пт.: 10:00—19:00'],FALSE
7772,142700,2016,ул. Школьная,"ул. Школьная, дом 21",ОПС Б1_2,FALSE,FALSE,55.5570422,37.70994,"Отделение связи №142700, 21, Школьная улица, 5-й микрорайон, городское поселение Видное, Ленинский район, Московская область, ЦФО, 142703, РФ",Школьная улица,142703,FALSE,94885,37,24.71715696,2,13,3.545428571,46.31585714,3,4,18,0,,8,30.46019647,6,11,1,"пн.: 11:00—20:00 вт.—пт.: 09:00—20:00 сб.: 09:00—18:00, пн.—пт.: 09:00—18:00",FALSE
2948,,2014,ул. Панфилова,"ул. Панфилова, д. 22",other,TRUE,FALSE,56.0319358,35.958705,"улица Панфилова, городское поселение Волоколамск, Волоколамский район, Московская область, ЦФО, 143600, РФ",Волоколамский,143600,FALSE,47674,25,49.61985137,1,11,0.5554285714,16.25585714,10,1,7,0,,2,101.0581133,6,11,1,,FALSE
1427,,2015,ул. Менделеева,"ул. Менделеева, 1А",КЦ,FALSE,FALSE,55.322185,38.6664479,"улица Менделеева, городское поселение Воскресенск, Воскресенский район, Московская область, ЦФО, 140205, РФ",Воскресенский,140205,FALSE,48626,6,201.7259566,2,12,2.997,26.51471429,5,1,9,0,,4,71.47446255,7,12,2,"['пн.—пт.: 09:00–21:00 сб., вс.: 10:00–17:00']",FALSE
10142,140209,2016,ул. Кагана,"ул. Кагана, дом 25",ОПС Б1_2,FALSE,FALSE,55.3142754,38.6561875,"улица Кагана, городское поселение Воскресенск, Воскресенский район, Московская область, ЦФО, 140209, РФ",Воскресенский,140209,FALSE,48626,6,111.0361496,2,4,1.859714286,16.54314286,4,0,0,0,,7,72.53792764,6,11,1,['пн.: 11:00—20:00 вт.—пт.: 09:00—20:00 сб.: 09:00—18:00'],FALSE
15664,140203,2017,ул. Мичурина,"ул. Мичурина, дом 3 А",ОПС Б1,FALSE,FALSE,55.2449071,38.7669814,"улица Мичурина, Воскресенск, Коломенский городской округ, Московская область, ЦФО, 140203, РФ",Коломенский городской округ,140203,FALSE,48626,9,63.88338674,2,12,0.2074285714,12.72557143,0,2,2,0,,4,131.2436019,5,9,0,['пн.—пт.: 10:00–19:00'],FALSE
8068,140200,2016,ул. Октябрьская,"ул. Октябрьская, дом 11",ОПС Б1,FALSE,FALSE,55.3227485,38.6797392,"Отделение связи №140200, 11, Октябрьская улица, городское поселение Воскресенск, Воскресенский район, Московская область, ЦФО, 140200, РФ",Октябрьская улица,140200,FALSE,48626,15,118.111014,5,19,1.538571429,45.89028571,4,2,9,0,,9,65.03250725,5,9,0,['пн.—пт.: 10:00–19:00'],FALSE
